name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Pass the Keys Town Location for Shrewsbury with 3 Bedrooms,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Town Location for Shrewsbury with 3 Bedrooms features a terrace.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2NX,UK,,,,,SY1,Holiday home,Managed by Michael,Entire home
Hencote Vineyard Glamping Village,"Offering a garden and garden view, Hencote Vineyard Glamping Village is situated in Shrewsbury, 29 km from Telford International Centre and 31 km from...",hencote,crosshill,,Shrewsbury,Shropshire,SY4 3AB,UK,,,,,SY4,Luxury tent,Managed by Hencote,
42 Albury Place,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 42 Albury Place provides accommodation with free WiFi and free private...",Shrewsbury,,,Shrewsbury,Shropshire,SY12EY,UK,,,,,SY12EY,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
"Coach House, Shrewsbury Town","Situated 25 km from Telford International Centre, 400 metres from Shrewsbury Cathedral and 7.",St Julians Cresent,,,Shrewsbury,Shropshire,SY1 1UD,UK,,,,,SY1,Holiday home,,Entire home
Riverside Cabins,"Boasting a hot tub, Riverside Cabins is situated in Shrewsbury.",Stanwardine Lane,,,Shrewsbury,Shropshire,SY4 1HY,UK,,,,,SY4,Holiday park,,
"Finest Retreats - Shropshire Cottage, 2 bedrooms, sleeps 3","Finest Retreats - Shropshire Cottage, 2 bedrooms, sleeps 3, a property with a garden, is located in Marchamley, 28 km from Telford International Centre, 33...",Eastlands White Hous,,,Marchamley,Shropshire,SY4 5LE,UK,,,,,SY4,Holiday home,Managed by Finest Retreats,Entire home
"Pass the Keys Charming 2 bedroom town house, perfectly located","Pass the Keys Charming 2 bedroom town house, perfectly located is set in Shrewsbury, 27 km from Telford International Centre, 400 metres from Shrewsbury...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1NQ,UK,,,,,SY1,Holiday home,Managed by Charlie,Entire home
10 Bromleys Court,"Located in Church Stretton and only 28 km from Ironbridge Gorge, 10 Bromleys Court provides accommodation with quiet street views, free WiFi and free...",10 Bromleys Court Church Stretton,,,Church Stretton,Shropshire,SY6 7BE,UK,,,,,SY6,Apartment,Hosted by Sarah Haddleton,Entire apartment
Entire ground floor town flat - Fully equipped and stunning.,"Located in Shrewsbury, 28 km from Ironbridge Gorge, Entire ground floor town flat - Fully equipped and stunning.",1 Breidden View,,,Shrewsbury,Shropshire,SY3 8NN,UK,,,,,SY3,Apartment,Hosted by Steve,Entire apartment
House In The Hills,"Boasting a hot tub, House In The Hills is located in Church Stretton.",Church Stretton,,,Church Stretton,Shropshire,SY6 6BB,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
"Besford Square, Shrewsbury Town","Besford Square, Shrewsbury Town is set in Shrewsbury, 26 km from Telford International Centre, less than 1 km from Shrewsbury Cathedral, and 7.",14 Besford Square,,,Shrewsbury,Shropshire,SY3 7PG,UK,,,,,SY3,Holiday home,,Entire home
Stockbatch Granary,"Stockbatch Granary is located in Shrewsbury, 30 km from Telford International Centre, 8.9 km from Attingham Park, and 11 km from Shrewsbury Cathedral.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7DN,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Shire Cottage,"Located in Shrewsbury in the Shropshire region, Shire Cottage provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8PW,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
St Vincent,"Situated 15 km from Attingham Park, 20 km from Shrewsbury Cathedral and 22 km from Stokesay Castle, St Vincent features accommodation located in Church...",Church Stretton,,,Church Stretton,Shropshire,SY6,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
ryton grange church barn sleeps 5,"Located in Shrewsbury in the Shropshire region, ryton grange church barn sleeps 5 provides accommodation with free WiFi and free private parking.",RYTON GRANGE,RYTON,NR DORRINGTON,Shrewsbury,Shropshire,SY5 7LW,UK,,,,,SY5,Holiday home,Hosted by emma and richard,Entire home
Comfy Modern 2 Bedroom Duplex Apartment with Sun Terrace,"Comfy Modern 2 Bedroom Duplex Apartment with Sun Terrace is situated in Shrewsbury, 27 km from Telford International Centre, 700 metres from Shrewsbury...",19 Mardol,,,Shrewsbury,Shropshire,SY1 1PU,UK,,,,,SY1,Apartment,,Entire apartment
"2 Bedroom Terrace Cottage, Parking and River Walks","Set 27 km from Telford International Centre, 1.2 km from Shrewsbury Cathedral and 8.",28 Longnor Street,,,Shrewsbury,Shropshire,SY3 8RF,UK,,,,,SY3,Holiday home,Hosted by Tom At Effective Stays Ltd,Entire home
Little Glenwood,"Located 43 km from Ironbridge Gorge, Little Glenwood provides accommodation with free WiFi and free private parking.",knockin heath,,,Knockin,Shropshire,SY10 8EA,UK,,,,,SY10,Apartment,,Entire apartment
Pippin's Place,"Located in Shrewsbury in the Shropshire region and Ironbridge Gorge reachable within 25 km, Pippin's Place provides accommodation with free WiFi, barbecue...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2HL,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Luxury Safari Tent with Hot Tub in Ancient Woodland,"Boasting garden views, Luxury Safari Tent with Hot Tub in Ancient Woodland offers accommodation with a garden and a patio, around 30 km from Ironbridge...",Hatton Grove Farm Track,,,Acton Scott,Shropshire,SY6 6QP,UK,,,,,SY6,Luxury tent,Managed by Acton Scott Escapes,
Top Farm Cottage,"Located in Oswestry in the Shropshire region, Top Farm Cottage provides accommodation with free WiFi and free private parking.",Oswestry,,,Oswestry,Shropshire,SY10 8HN,UK,,,,,SY10,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Drovers Rest,"Situated 31 km from Ironbridge Gorge, Drovers Rest features accommodation with free WiFi and free private parking.",Drover's Rest,Castle Hill,All Stretton,All Stretton,Shropshire,SY6 6JP,UK,,,,,SY6,Holiday home,Managed by Luxury Cottages,Entire home
The Coach House At The Gables,"Situated 38 km from Telford International Centre, The Coach House At The Gables features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY4 5SX,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Stowe,"Located 27 km from Telford International Centre, 700 metres from Shrewsbury Cathedral and 8.",Roushill,,,Shrewsbury,Shropshire,SY1 1PN,UK,,,,,SY1,Homestay,,
Pass the Keys Unique town centre apartment with vaulted ceiling,"Located 27 km from Telford International Centre, 800 metres from Shrewsbury Cathedral and 8.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1PP,UK,,,,,SY1,Apartment,Managed by Richard,Entire apartment
7 Monkmoor Road,"7 Monkmoor Road is located in Shrewsbury, 49 km from Chillington Hall, 1.1 km from Shrewsbury Cathedral, as well as 6.2 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5AG,UK,,,,,SY2,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
Attic & Cherry Tree Guest Suites,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Attic & Cherry Tree Guest Suites features accommodation with free WiFi...",Cherry Tree House,14A Underdale Road,,Shrewsbury,Shropshire,SY2 5DL,UK,,,,,SY2,Guest house,Managed by Underdale Property Management Ltd,
Stylish and modern entire apartment,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Stylish and modern entire apartment provides accommodation with free WiFi...",22 Longner Street,,,Shrewsbury,Shropshire,SY3 8QX,UK,,,,,SY3,Apartment,Hosted by Nicola,Entire apartment
Casa Amor Homes,"Casa Amor Homes is set in Shrewsbury, 26 km from Telford International Centre, 800 metres from Shrewsbury Cathedral, as well as 7.7 km from Attingham Park.",Apartment 2 Chapel Mews Castle Court,,,Shrewsbury,Shropshire,SY1 2BG,UK,,,,,SY1,Homestay,,
Thursdays Corner Tudor Cottage,"Offering mountain views, Thursdays Corner Tudor Cottage is an accommodation situated in Church Stretton, 43 km from Telford International Centre and 14 km...",Thursdays Corner 84 High Street,,,Church Stretton,Shropshire,SY6 6BY,UK,,,,,SY6,Holiday home,,Entire home
1 Bed in Shrewsbury 73521,"Set in Ford and only 33 km from Ironbridge Gorge, 1 Bed in Shrewsbury 73521 offers accommodation with garden views, free WiFi and free private parking.","Meadowside
Ford
Shropshire",,,Ford,Shropshire,SY5 9LE,UK,,,,,SY5,Holiday home,Managed by holidaycottages-co-uk,Entire home
Shrewsbury Cottage,"Offering a garden and garden view, Shrewsbury Cottage is located in Shrewsbury, 23 km from Telford International Centre and 47 km from Chillington Hall.",112 London Road,,,Shrewsbury,Shropshire,SY2 6PP,UK,,,,,SY2,Holiday home,Hosted by Jo Henshaw owner and founder of Stayinshrewsbury,Entire home
10 Bromleys Court,"Located in Church Stretton and only 28 km from Ironbridge Gorge, 10 Bromleys Court provides accommodation with quiet street views, free WiFi and free...",10 Bromleys Court Church Stretton,,,Church Stretton,Shropshire,SY6 7BE,UK,,,,,SY6,Apartment,Hosted by Sarah Haddleton,Entire apartment
Rose Hill,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Rose Hill offers accommodation with free WiFi and free private parking.",17 Porthill Drive,,,Shrewsbury,Shropshire,SY3 8RP,UK,,,,,SY3,Holiday home,Hosted by Kerry,Entire home
Spacious 5 bedroom house in quiet cul-de-sac,"Spacious 5 bedroom house in quiet cul-de-sac, a property with a garden, is situated in Shrewsbury, 29 km from Ironbridge Gorge, 30 km from Telford...",Cavendish Close,,,Shrewsbury,Shropshire,SY3 5PG,UK,,,,,SY3,Apartment,Managed by Your Night Away Ltd,Entire apartment
Pass the Keys Central cosy home 5 minutes walk from Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Central cosy home 5 minutes walk from Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Holiday home,Managed by Carol,Entire home
Birchwood House,"Situated in Church Stretton and only 28 km from Ironbridge Gorge, Birchwood House features accommodation with city views, free WiFi and free private...",Birchwood House,Clive Avenue,,Church Stretton,Shropshire,SY6 7BS,UK,,,,,SY6,Apartment,,Entire apartment
Attic & Cherry Tree Guest Suites,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Attic & Cherry Tree Guest Suites features accommodation with free WiFi...",Cherry Tree House,14A Underdale Road,,Shrewsbury,Shropshire,SY2 5DL,UK,,,,,SY2,Guest house,Managed by Underdale Property Management Ltd,
"Holiday Inn Express Shrewsbury, an IHG Hotel","Just off the A5, on the outskirts of Shrewsbury, this air-conditioned hotel features large, modern bedrooms, a contemporary restaurant and conference...",Shrewsbury Business Park,Sitka Drive,,Shrewsbury,Shropshire,SY2 6LG,UK,,,,,SY2,Hotel,,
Pass the Keys Stylish modern two bedroom home in Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Stylish modern two bedroom home in Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6JF,UK,,,,,SY2,Holiday home,Managed by Emma & Karl,Entire home
Pass the Keys Central cosy home 5 minutes walk from Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Central cosy home 5 minutes walk from Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Holiday home,Managed by Carol,Entire home
ryton grange church barn sleeps 5,"Located in Shrewsbury in the Shropshire region, ryton grange church barn sleeps 5 provides accommodation with free WiFi and free private parking.",RYTON GRANGE,RYTON,NR DORRINGTON,Shrewsbury,Shropshire,SY5 7LW,UK,,,,,SY5,Holiday home,Hosted by emma and richard,Entire home
1 Bed in Stoke on Tern 85516,"Situated in Stoke upon Tern and only 29 km from Telford International Centre, 1 Bed in Stoke on Tern 85516 features accommodation with garden views, free...","Woodhouse Farm
Stoke On Tern",,,Stoke upon Tern,,TF9 2DR,UK,,,,,TF9,Holiday home,Managed by holidaycottages-co-uk,Entire home
Habberley Glamping Pods,"Habberley Glamping Pods is a recently renovated campground in Shrewsbury, where guests can make the most of its garden and barbecue facilities.",EastridgeGlamping,Habberley,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping Limited,
Quarry View Garden Studio in Shrewsbury with Parking,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Quarry View Garden Studio in Shrewsbury with Parking features...",Quarry View,,,Shrewsbury,Shropshire,SY3 8JL,UK,,,,,SY3,Apartment,,Entire apartment
5 Bedroom Victorian Town House - Perfect for Contractors and Family Groups,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 5 Bedroom Victorian Town House - Perfect for Contractors and Family Groups...",Ellesmere Road,,,Shrewsbury,Shropshire,SY1 2PR,UK,,,,,SY1,Holiday home,,Entire home
College Hill Shrewsbury,"Offering city views, College Hill Shrewsbury is an accommodation located in Shrewsbury, 27 km from Telford International Centre and 400 metres from...",College Hill,,,Shrewsbury,Shropshire,SY1 1LT,UK,,,,,SY1,Apartment,Hosted by Karl,Entire apartment
Countryside in the Town.,"Countryside in the Town., a property with a garden and a terrace, is located in Harlescott, 50 km from Chillington Hall, 4 km from Shrewsbury Cathedral, as...",55 Whitemere Road,,,Harlescott,Shropshire,SY1 3BY,UK,,,,,SY1,Apartment,Hosted by Adrian,Entire apartment
"21 ,North Street","Providing free WiFi, parking on-site and a garden, the recently renovated property of 21, North Street, offers rooms in Shrewsbury, 25 km from Ironbridge...",21 North Street,,,Shrewsbury,Shropshire,SY1 2JG,UK,,,,,SY1,Homestay,Hosted by Monica Sharma,
Ruth's Rest,"Featuring a hot tub, Ruth's Rest is set in Shrewsbury. This property offers access to a patio, free private parking and free WiFi.",Little Vinnals Bungalow,Lower Common Longden Shrewsbury,,Shrewsbury,Shropshire,SY5 8HF,UK,,,,,SY5,Campsite,,
Abbey Cottage,"Located in Shrewsbury, 23 km from Ironbridge Gorge and 24 km from Telford International Centre, Abbey Cottage provides accommodation with free WiFi in a...",2 Coldbath Court,,,Shrewsbury,Shropshire,SY2 6AH,UK,,,,,SY2,Holiday home,Hosted by Louise & Steve,Entire home
Spacious 5 bedroom house in quiet cul-de-sac,"Spacious 5 bedroom house in quiet cul-de-sac, a property with a garden, is situated in Shrewsbury, 29 km from Ironbridge Gorge, 30 km from Telford...",Cavendish Close,,,Shrewsbury,Shropshire,SY3 5PG,UK,,,,,SY3,Apartment,Managed by Your Night Away Ltd,Entire apartment
Pass the Keys Unique town centre apartment with vaulted ceiling,"Located 27 km from Telford International Centre, 800 metres from Shrewsbury Cathedral and 8.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1PP,UK,,,,,SY1,Apartment,Managed by Richard,Entire apartment
Creamore Grove,"Creamore Grove, a property with a garden, is situated in Wem, 47 km from Chester Racecourse, 49 km from Chester Zoo, as well as 19 km from Shrewsbury...",Wem,,,Wem,Shropshire,SY4 5AQ,UK,,,,,SY4,Holiday home,,Entire home
Pass the Keys 5B One bedrom Central Modern Apartment,"Pass the Keys 5B One bedrom Central Modern Apartment is set in Shrewsbury, 26 km from Ironbridge Gorge, 27 km from Telford International Centre, as well as...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1PN,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Shrewsbury Townhouse,"Offering inner courtyard views, Shrewsbury Townhouse is an accommodation set in Shrewsbury, 27 km from Telford International Centre and 1.",2 Mount Street,,,Shrewsbury,Shropshire,SY3 8QP,UK,,,,,SY3,Holiday home,Hosted by Adrian,Entire home
Ground floor well appointed cosy flat in Ludlow,"Situated in Ludlow, the recently renovated Ground floor well appointed cosy flat in Ludlow offers accommodation 40 km from Ironbridge Gorge and 49 km from...",Ashford Mews,,,Ludlow,Shropshire,SY8 1NP,UK,,,,,SY8,Apartment,Hosted by Peter and Hilary,Entire apartment
Borrowers Cottage,"Located 31 km from Telford International Centre, 9 km from Shrewsbury Cathedral and 13 km from Attingham Park, Borrowers Cottage offers accommodation...",Condover,,,Condover,Shropshire,SY5 7AE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
"The Telford Hotel, Spa & Golf Resort","Overlooking Ironbridge Gorge, the modern 4-star The Telford Hotel, Spa & Golf Resort features a spa, a gym, free parking and an 18-hole golf course.",Great Hay Drive,,,Telford,Shropshire,TF7 4DT,UK,,,,,TF7,Hotel,,
Cute & Cool Two Bed Townhouse with Garden & Parking,"Cute & Cool Two Bed Townhouse with Garden & Parking, a property with a garden, is located in Shrewsbury, 26 km from Ironbridge Gorge, 27 km from Telford...",131 Belle Vue Road,,,Shrewsbury,Shropshire,SY3 7NN,UK,,,,,SY3,Holiday home,Hosted by Tom At Effective Stays Ltd,Entire home
The Dairy - Uk10957,"The Dairy - Uk10957, a property with a garden, is set in Walford, 42 km from Ironbridge Gorge, 18 km from Shrewsbury Cathedral, as well as 20 km from...",Walford,,,Walford,Shropshire,SY4 3SA,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
Cute & Cool Two Bed Townhouse with Garden & Parking,"Cute & Cool Two Bed Townhouse with Garden & Parking, a property with a garden, is located in Shrewsbury, 26 km from Ironbridge Gorge, 27 km from Telford...",131 Belle Vue Road,,,Shrewsbury,Shropshire,SY3 7NN,UK,,,,,SY3,Holiday home,Hosted by Tom At Effective Stays Ltd,Entire home
Abbey Green Farm,"Abbey Green Farm offers accommodation in the village of Whixall, near Whitchurch. Free WiFi is offered and free private parking is available on site.",Abbey Green Farm,Whixall,,Wem,Shropshire,SY13 2PT,UK,,,,,SY13,Bed and breakfast,Managed by Philip & Rose,
Farmhouse studio near Shrewsbury,"Offering a garden and mountain view, Farmhouse studio near Shrewsbury is situated in Shrewsbury, 37 km from Ironbridge Gorge and 48 km from Trentham...",Hill Farm,Clive,Shrewsbury Shopshire,Shrewsbury,Shropshire,SY4 5PX,UK,,,,,SY4,Bed and breakfast,Hosted by Louise Worthington,
St. John’s hill - with parking,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, St.",37 Saint John's Hill,,,Shrewsbury,Shropshire,SY1 1JQ,UK,,,,,SY1,Holiday home,Hosted by Jonathan,Entire home
Riverdale,"Set 26 km from Telford International Centre, 1.8 km from Shrewsbury Cathedral and 7.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5EE,UK,,,,,SY2,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Abbey View Shrewsbury,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Abbey View Shrewsbury provides accommodation with free WiFi and free...",9 Whitehall Street,,,Shrewsbury,Shropshire,SY2 5AD,UK,,,,,SY2,Holiday home,,Entire home
Orchard Cottage,"Orchard Cottage, a property with a garden, is situated in Shrewsbury, 40 km from Telford International Centre, 43 km from Ironbridge Gorge, as well as 45...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 5RT,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Malthouse,"Located beside the River Severn in the village of Ironbridge, the lively Malthouse boasts free WiFi, free on-site parking, a bar and a restaurant.",The Wharfage,,,Ironbridge,Shropshire,TF8 7NH,UK,,,,,TF8,Bed and breakfast,,
Cronkhill Farmhouse,"Cronkhill Farmhouse, a property with a garden, is situated in Wroxeter, 21 km from Telford International Centre, 45 km from Chillington Hall, as well as 2.",Wroxeter,,,Wroxeter,Shropshire,SY5,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
7 Monkmoor Road,"7 Monkmoor Road is located in Shrewsbury, 49 km from Chillington Hall, 1.1 km from Shrewsbury Cathedral, as well as 6.2 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5AG,UK,,,,,SY2,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
The Loft,"The Loft is located in Wem, 47 km from Chester Racecourse, 49 km from Chester Zoo, as well as 19 km from Shrewsbury Cathedral.",20 Wemsbrook Road,,,Wem,Shropshire,SY4 5AH,UK,,,,,SY4,Apartment,Hosted by Leo,Entire apartment
"Buckley Farm, Barn 2 - Uk36586","Situated in Oswestry and only 42 km from Ironbridge Gorge, Buckley Farm, Barn 2 - Uk36586 features accommodation with river views, free WiFi and free...",Oswestry,,,Oswestry,Shropshire,SY4 1BU,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
The Shrewsbury Hotel Wetherspoon,"Boasting a bar, The Shrewsbury Hotel Wetherspoon is situated opposite River Severn.",Bridge Place,,,Shrewsbury,Shropshire,SY1 1PU,UK,,,,,SY1,Hotel,,
Church Apartment,"Church Apartment offers accommodation in the heart of Shrewsbury, 200 metres from Theatre Severn. Private parking and free Wi-Fi are available.",15 Mount Street,Church Flat,,Shrewsbury,Shropshire,SY3 8QJ,UK,,,,,SY3,Apartment,Hosted by Suzanne Evans,Entire apartment
Hazler Lodge,"Boasting garden views, Hazler Lodge offers accommodation with a garden and a patio, around 27 km from Ironbridge Gorge.",Hazler Road Church Stretton,,,Church Stretton,Shropshire,SY6 7AF,UK,,,,,SY6,Bed and breakfast,,
1 Royal Oak Cottages,"Located 34 km from Ironbridge Gorge, 1 Royal Oak Cottages provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8AG,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
St. John’s hill - with parking,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, St.",37 Saint John's Hill,,,Shrewsbury,Shropshire,SY1 1JQ,UK,,,,,SY1,Holiday home,Hosted by Jonathan,Entire home
Cute & Cool Two Bed Townhouse with Garden & Parking,"Cute & Cool Two Bed Townhouse with Garden & Parking, a property with a garden, is located in Shrewsbury, 26 km from Ironbridge Gorge, 27 km from Telford...",131 Belle Vue Road,,,Shrewsbury,Shropshire,SY3 7NN,UK,,,,,SY3,Holiday home,Hosted by Tom At Effective Stays Ltd,Entire home
Sunday School House,"Sunday School House offers accommodation in Shrewsbury, 400 metres from Shrewsbury Castle and 500 metres from Shrewsbury Town Council.",Sunday School House 2 Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo,Entire apartment
The Little Dingle,"The Little Dingle is set in Church Stretton, 38 km from Telford International Centre, 16 km from Shrewsbury Cathedral, as well as 18 km from Stokesay...",Church Stretton,,,Church Stretton,Shropshire,SY6 6LU,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Barn,"Situated 24 km from Telford International Centre, The Barn features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY4 4HG,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Beautiful modern townhouse,"Featuring garden views, Beautiful modern townhouse provides accommodation with a terrace, around 26 km from Telford International Centre.",20 Benyon Street,,,Shrewsbury,Shropshire,SY1 2JQ,UK,,,,,SY1,Holiday home,Hosted by Danny Budd,Entire home
Mountain Edge Resort Lodge 1 with Hot Tub,"Situated in Church Stretton, Mountain Edge Resort Lodge 1 with Hot Tub features a restaurant, 32 km from Ironbridge Gorge and 47 km from Telford...",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
10 Bromleys Court,"Located in Church Stretton and only 28 km from Ironbridge Gorge, 10 Bromleys Court provides accommodation with quiet street views, free WiFi and free...",10 Bromleys Court Church Stretton,,,Church Stretton,Shropshire,SY6 7BE,UK,,,,,SY6,Apartment,Hosted by Sarah Haddleton,Entire apartment
Kemps Eye Cottage,"Kemps Eye Cottage, a property with a garden and barbecue facilities, is situated in Shrewsbury, 27 km from Telford International Centre, 1.",Shrewsbury,,,Shrewsbury,Shropshire,SY3 7QW,UK,,,,,SY3,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Quarry View Garden Studio in Shrewsbury with Parking,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Quarry View Garden Studio in Shrewsbury with Parking features...",Quarry View,,,Shrewsbury,Shropshire,SY3 8JL,UK,,,,,SY3,Apartment,,Entire apartment
Cherry Orchard,"Cherry Orchard in Shrewsbury provides accommodation with free WiFi, 1 km from Shrewsbury Abbey, 2 km from Shrewsbury College of Arts and Technology and 1...",30 Cleveland Street,,,Shrewsbury,Shropshire,SY2 5DN,UK,,,,,SY2,Holiday home,Managed by Morgan Property Ltd,Entire home
Borrowers Cottage,"Located 31 km from Telford International Centre, 9 km from Shrewsbury Cathedral and 13 km from Attingham Park, Borrowers Cottage offers accommodation...",Condover,,,Condover,Shropshire,SY5 7AE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
"Studio 1, First Floor Town Centre Apartment","Set 25 km from Telford International Centre, 50 km from Chillington Hall and 300 metres from Shrewsbury Cathedral, Studio 1, First Floor Town Centre...",11 Wyle Cop Studio 1,,,Shrewsbury,Shropshire,SY1 1XB,UK,,,,,SY1,Apartment,Managed by Effective Stays Ltd,Entire apartment
Orchard View,"Located in Woolstaston in the Shropshire region, Orchard View features a patio.",Smethcott Bank,,,Woolstaston,,SY5 8DG,UK,,,,,SY5,Holiday home,Managed by Rural Retreats Holidays Ltd,Entire home
Spacious first floor apartment in the centre of Church Stretton with free parking,"Offering mountain views, Spacious first floor apartment in the centre of Church Stretton with free parking is an accommodation located in Church Stretton,...",Sandford Avenue 2 Lorne House,,,Church Stretton,Shropshire,SY6 6BW,UK,,,,,SY6,Apartment,Hosted by Elaine,Entire apartment
Pass the Keys Central cosy home 5 minutes walk from Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Central cosy home 5 minutes walk from Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Holiday home,Managed by Carol,Entire home
Pass the Keys Dahlia Contemporary town centre apartment,"Located in Shrewsbury in the Shropshire region, Pass the Keys Dahlia Contemporary town centre apartment features a balcony.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Pass The Keys,Entire apartment
The Shrewsbury Hotel Wetherspoon,"Boasting a bar, The Shrewsbury Hotel Wetherspoon is situated opposite River Severn.",Bridge Place,,,Shrewsbury,Shropshire,SY1 1PU,UK,,,,,SY1,Hotel,,
Shippon Cottage - E4299a,"Set 34 km from Ironbridge Gorge and 35 km from Telford International Centre in Cardeston, Shippon Cottage - E4299a offers accommodation with a kitchen.",Cardeston,,,Cardeston,Shropshire,SY5 0UY,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Victoria House,"Boasting a garden and views of garden, Victoria House is a guest house set in a historic building in Church Stretton, 29 km from Ironbridge Gorge.",48 High Street,,,Church Stretton,Shropshire,SY6 6BX,UK,,,,,SY6,Guest house,Managed by Diane Chadwick,
"2 Bedroom Terrace Cottage, Parking and River Walks","Set 27 km from Telford International Centre, 1.2 km from Shrewsbury Cathedral and 8.",28 Longnor Street,,,Shrewsbury,Shropshire,SY3 8RF,UK,,,,,SY3,Holiday home,Hosted by Tom At Effective Stays Ltd,Entire home
1 Bed in Church Stretton 90929,"1 Bed in Church Stretton 90929 is set in All Stretton, 19 km from Stokesay Castle, 20 km from Attingham Park, as well as 30 km from Ludlow Castle.","The Pod
Brook House Farm
Lower Wood
All Stretton",,,All Stretton,Shropshire,SY6 6LF,UK,,,,,SY6,Holiday home,Managed by holidaycottages-co-uk,Entire home
